state,district,commodity,variety,modal_price
"""--Select State--""","""--Select District--""","""--Select Commodity--""","""--Select Variety--""",0
Assam,Barpeta,Black Gram (Urd Beans),Black Gram (Whole),2900
Assam,Barpeta,Corriander seed,Coriander Seed,3825
Assam,Barpeta,Jute,TD-5,3825
Assam,Barpeta,Lentil(Masur),Masoor Gola,3500
Assam,Barpeta,Mustard,Mustard,3600
Assam,Barpeta,Potato,Potato,800
Assam,Dhemaji,Lentil(Masur),Masur Dal,5700
Assam,Dhemaji,Wheat Atta,Wheat Atta,2500
Assam,Kamrup,Maida Atta,Maida Atta,2380
Assam,Kamrup,Potato,Potato,1140
Assam,Kamrup,Wheat Atta,Wheat Atta,2330
Assam,Nagaon,Green Chilli,Green Chilly,1800
Assam,Nagaon,Jute,TD-5,3400
Assam,Nagaon,Maida Atta,Maida Atta,2270
Assam,Nagaon,Mustard,Mustard,3800
Assam,Nagaon,Wheat Atta,Wheat Atta,2230
Assam,Nalbari,Green Gram Dal (Moong Dal),Green Gram Dal,6600
Assam,Nalbari,Lentil(Masur),Masur Dal,4700
Assam,Nalbari,Maida Atta,Maida Atta,2500
Assam,Nalbari,Wheat Atta,Wheat Atta,2400
Assam,Sonitpur,Jute,TD-5,3900
Chattisgarh,Bastar,Paddy(Dhan),Other,1500
Chattisgarh,Bilaspur,Bengal Gram(Gram),Desi (Whole),3500
Chattisgarh,Bilaspur,Lak(Teora),Lak (Whole),1550
Chattisgarh,Bilaspur,Onion,Other,1200
Chattisgarh,Bilaspur,Potato,Other,1200
Chattisgarh,Bilaspur,Tomato,Other,250
Chattisgarh,Durg,Tinda,Other,2250
Chattisgarh,Janjgir,Paddy(Dhan),Paddy Medium,1615
Chattisgarh,Janjgir,Paddy(Dhan),Paddy Coarse,1500
Chattisgarh,Janjgir,Paddy(Dhan),Paddy,1500
Chattisgarh,Janjgir,Mahua,Other,2500
Chattisgarh,Janjgir,Mahua,Other,2500
Chattisgarh,Janjgir,Paddy(Dhan),Paddy,1552
Chattisgarh,Janjgir,Paddy(Dhan),Paddy,1550
Chattisgarh,Mahasamund,Paddy(Dhan),Common,1528
Chattisgarh,Mahasamund,Paddy(Dhan),Paddy fine,1530
Chattisgarh,North Bastar,Paddy(Dhan),Other,1500
Chattisgarh,North Bastar,Paddy(Dhan),Other,1400
Chattisgarh,Rajnandgaon,Bhindi(Ladies Finger),Bhindi,1000
Chattisgarh,Rajnandgaon,Lemon,Lemon,5400
Chattisgarh,Rajnandgaon,Tomato,Local,200
Chattisgarh,Surguja,Mahua,Other,2300
Chattisgarh,Surguja,Maize,Local,1430
Gujarat,Ahmedabad,Bottle gourd,Other,750
Gujarat,Ahmedabad,Brinjal,Other,750
Gujarat,Ahmedabad,Carrot,Other,800
Gujarat,Ahmedabad,Green Chilli,Other,1350
Gujarat,Ahmedabad,Methi(Leaves),Other,1700
Gujarat,Ahmedabad,Cotton,Shanker 6 (B) 30mm FIne,3930
Gujarat,Amreli,Bajra(Pearl Millet/Cumbu),Other,1405
Gujarat,Amreli,Black Gram (Urd Beans),Other,3005
Gujarat,Amreli,Castor Seed,Other,3725
Gujarat,Amreli,Chili Red,Red,11450
Gujarat,Amreli,Cotton,Other,4705
Gujarat,Amreli,Cummin Seed(Jeera),Other,13975
Gujarat,Amreli,Jowar(Sorghum),Other,3200
Gujarat,Amreli,Methi Seeds,Other,2125
Gujarat,Amreli,Mustard,Other,3830
Gujarat,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,7540
Gujarat,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,8125
Gujarat,Amreli,Wheat,Lokwan,1825
Gujarat,Amreli,Cotton,Other,4157
Gujarat,Amreli,Cummin Seed(Jeera),Cummin Seed(Jeera),14000
Gujarat,Amreli,Methi Seeds,Methiseeds,2503
Gujarat,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,7603
Gujarat,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,7668
Gujarat,Amreli,Bajra(Pearl Millet/Cumbu),Deshi,1425
Gujarat,Amreli,Black Gram (Urd Beans),Black Gram (Whole),3250
Gujarat,Amreli,Castor Seed,Castor seed,3518
Gujarat,Amreli,Cotton,Narma BT Cotton,4513
Gujarat,Amreli,Cummin Seed(Jeera),Cummin Seed(Jeera),13938
Gujarat,Amreli,Jowar(Sorghum),Jowar ( White),2763
Gujarat,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,7375
Gujarat,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,6500
Gujarat,Amreli,Wheat,Lokwan,1878
Gujarat,Anand,Bottle gourd,Other,275
Gujarat,Anand,Brinjal,Other,350
Gujarat,Anand,Green Chilli,Other,850
Gujarat,Anand,Bajra(Pearl Millet/Cumbu),Other,1130
Gujarat,Anand,Wheat,Other,1850
Gujarat,Anand,Wheat,Other,1668
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),Other,1300
Gujarat,Banaskanth,Castor Seed,Other,3925
Gujarat,Banaskanth,Mustard,Other,3500
Gujarat,Banaskanth,Suva (Dill Seed),Other,4100
Gujarat,Banaskanth,Wheat,Other,1800
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),Other,1275
Gujarat,Banaskanth,Castor Seed,Other,3915
Gujarat,Banaskanth,Cummin Seed(Jeera),Other,13500
Gujarat,Banaskanth,Mustard,Other,3400
Gujarat,Banaskanth,Rajgir,Other,4400
Gujarat,Banaskanth,Soanf,Other,5350
Gujarat,Banaskanth,Wheat,Other,1750
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),Hybrid,1290
